rank,title,view,author,score,url
51,【老E】EOEOの恋爱♂狩猎冒险！,1115,EdmundDZhang,310922,https://www.bilibili.com/video/av28499298/
52,【萌新人格】学会这个技巧，手机玩家新手变高玩,6646,急支糖浆就是我,310613,https://www.bilibili.com/video/av28667051/
53,【剧版镇魂】【沙雕视频】用冯豆子的说话方式打开沈巍内心小剧场 第二弹,1354,薛定谔的白rap,308751,https://www.bilibili.com/video/av28589672/
54,山竹秋颜，功夫牛肉，冠群峰，双辣齐下，山曰：绝,4361,山药视频,307675,https://www.bilibili.com/video/av28781261/
55,【实验】20000枚磁铁能挡住子弹吗？（中字剪辑）@Wayne字幕组,645,Wayne字幕组,303746,https://www.bilibili.com/video/av28055879/
56,『肥宅快乐教程①』无损(相对)放大图片,155,绫波型音乐播放器,303518,https://www.bilibili.com/video/av28467455/
57,气质这个东西真的很玄学。,204,允儿,303517,https://www.bilibili.com/video/av28632812/
58,纸模也能这么爷们？,337,杰森丶布洛迪,302622,https://www.bilibili.com/video/av28050786/
59,【朱一龙】泡泡龙：何老师这些题好难啊~  （更新至3p 小青龙和马伯骞小哥哥的采访视频已上传 ）,2264,皌不古,302161,https://www.bilibili.com/video/av28614987/
60,你吃过可乐加花生吗？据美国南方人说是人间美味？,3200,王咩阿,299850,https://www.bilibili.com/video/av28689450/
61,【朱一龙】《小半》个站直拍 现场比直播更好听！！！,650,工科女tzsj,298023,https://www.bilibili.com/video/av28680669/
62,撒贝宁参加蒙面歌王，评委：你不是一个专业的歌手！撒贝宁的回答爆笑全场！,747,93380827626_bili,295246,https://www.bilibili.com/video/av28144761/
63,我“该”你的？？？,3125,戏精牡丹,293152,https://www.bilibili.com/video/av28660950/
64,给猫抓了一只知了，然后知了就没然后了。,2076,玛理奥利奥,292739,https://www.bilibili.com/video/av27816381/
65,LOL坑爹碉堡集锦：要么拥抱暗影，要么死于自信,2075,靠脸吃饭的徐大王,291444,https://www.bilibili.com/video/av28676914/
66,中国手游氪金榜2015~2018（数据可视化）,1.6万,玩家夏鸣虫,291022,https://www.bilibili.com/video/av28627545/
67,【王境泽＆面筋哥】答案——爱就像烤着面筋邂逅在风里,1450,深海色带鱼,289129,https://www.bilibili.com/video/av28744260/
68,这可能是我有生以来经历过最刺激的一次漫展,637,君陌院长Dzg,288128,https://www.bilibili.com/video/av28079800/
69,【STN快报第二季42】我来我杀我潜入,4072,STN工作室,287894,https://www.bilibili.com/video/av28797222/
70,[前方高能]皇家级狗语翻译，狗：妈妈不要我了。,392,吾王的咖喱,287394,https://www.bilibili.com/video/av28660713/
71,【豌豆凉粉】结结实实来一顿豌豆凉粉，清凉消暑一整夏,2502,李子柒,283309,https://www.bilibili.com/video/av28659553/
72,一只气到不想理你的糯米团子,543,一只嗨tu,278892,https://www.bilibili.com/video/av28044112/
73,【五五开】穷开挂,931,茶几君梦二,278126,https://www.bilibili.com/video/av18193325/
74,猫咪绝育前体检，以为要被鸽蛋，结果被剃了一大坨胸毛，丑哭了！,2161,花花与三猫CatLive,276232,https://www.bilibili.com/video/av28819358/
75,女装大佬在漫展被人识破看出是男生后，场面瞬间爆炸！,623,熊猫好吃QAQ,275887,https://www.bilibili.com/video/av28012917/
76,【绝美天依】你可曾见过如此妩媚的小姐姐,341,超污的大白兔,275598,https://www.bilibili.com/video/av28527870/
77,【补番时刻】b站播放量超1000万的8部动画（12年版）(top5-8),1416,一方通行kuma,274903,https://www.bilibili.com/video/av28569312/
78,腾讯2019次世代手游《代号夏娃》实机渲染技术演示,2590,可因卡,274498,https://www.bilibili.com/video/av28562299/
79,锐不可挡：2018洲际赛RNG回顾,3582,皇族电子竞技俱乐部官方账号,270154,https://www.bilibili.com/video/av28687332/
80,美国知乎：中国到底有多安全？中国网友：这些不是很正常吗？,1216,绅士羊OuO,269414,https://www.bilibili.com/video/av27472079/
81,100元究竟能在“某多多”上买到多少山寨货？,3161,翔翔大作战,268687,https://www.bilibili.com/video/av28758145/
82,【三无】〇,2211,三无Marblue,267980,https://www.bilibili.com/video/av28519366/
83,【水煮鱼】辣么辣的鱼，不吃不吃一口都不会吃的（￣▽￣）啊真香,1270,日食记官方,267083,https://www.bilibili.com/video/av28698864/
84,【某幻君rap】当B站知名UP主遇到中国新说唱...,825,倒悬的橘子,266723,https://www.bilibili.com/video/av27801961/
85,【嫌弃的胖次】当你成为少主之后 我觉得你的表情还可以再嫌弃一点,195,C殿C殿,266632,https://www.bilibili.com/video/av28594854/
86,【17部fate动画，你看过多少？】,5057,Anime_Geek,264962,https://www.bilibili.com/video/av28612842/
87,【老番茄】我与广东靓仔的燃情吃鸡之旅,845,老番茄,264008,https://www.bilibili.com/video/av28386938/
88,【高燃AMV】化身修罗只为守护你，帅炸的周防高燃激斗！！！,350,時雨さんヽ,263347,https://www.bilibili.com/video/av28603563/
89,爽吗？爽死你,711,新勒Silly,263270,https://www.bilibili.com/video/av26265861/
90,【鲨鱼】随意改变眼型，坐拥天下老婆万千,299,鲨鱼大公举,261691,https://www.bilibili.com/video/av28755783/
91,文森特：新纪录！22分钟90杀！8个五杀！,3780,芝士蜜蜜啦,260723,https://www.bilibili.com/video/av28616245/
92,【前方高能】和你连麦的萝莉会不会是这样的........,1553,喵丶小鱼鱼,256318,https://www.bilibili.com/video/av28688687/
93,【马化腾X马云】起风了,1483,时雨若雨,255465,https://www.bilibili.com/video/av28468920/
94,你没有吃过的十种水果！吃完发现这些水果冷门是有原因的！,6913,敬汉卿,255036,https://www.bilibili.com/video/av28685711/
95,【赤九玖】血小板之歌【卖萌卖到让自己窒息】,693,赤九玖,254662,https://www.bilibili.com/video/av28600911/
96,【大忽悠录屏】160万歌会录屏，老王献唱纸短情长,2.4万,大忽悠录屏组,252895,https://www.bilibili.com/video/av28685171/
97,【 高清拍摄】带你近距离目睹虫牙深处的秘密！,1101,德尔齿科钵钵鸡,251120,https://www.bilibili.com/video/av28183609/
98,【王境泽】HandClap 真香神曲已上线,547,一支旧铅笔,251020,https://www.bilibili.com/video/av27868068/
99,震惊！长江七号小演员都长大了！ 果然「女大18变」...等等 不对！这...我好像了解什麽了,619,占占Jim,250805,https://www.bilibili.com/video/av26624798/
